,FileName,Abstract,Introduction,Conclusion
10,2017-A formal foundation for secure remote execution of enclaves.pdf,recent proposals for trusted hardware platforms such as intel sgx and mit sanctum processor offer compelling security features but lack formal guarantees . we introduce a verification method- ology based on a trusted abstract platform (tap) we also formalize the notion of secure remote execution .,privileged software layers in trusted computing base (tcb) include the operating system (os) hypervisor and firmware . these layers have been exploited to enable the execution of privileged malware with disastrous consequences .,. - (EL) - -________________________ -______________________ __________ __
11,2017-Authenticated Garbling and Efficient Maliciously Secure Two-Party Computation.pdf,our framework uses a function-independent preprocessing phase to generate authenticated information for the two parties . this information is then used to construct a single “authenticated” garbled circuit which is transmitted and evaluated .,protocols for secure two-party computation (protocols) . protocols are used to ensure that two parties are able to perform computations .,. - (EL) - -________________________ -______________________ __________ __
12,"2017-Data Breaches, Phishing, or Malware_ Understanding the Risks of Stolen Credentials.pdf",in this paper we present the first longitudinal measurement study of the underground ecosystem fueling credential theft . over the course of march 2016–march 2017 we identify 788 000 potential victims of off-the- shelf keyloggers . 12.4 million potential victim of phishing kits; and 1.9 billion usernames and passwords exposed via data breaches and traded on blackmarket forums .,a hacker can reset a victim’s passwords to other services as a stepping stone attack . he can download all of the victim's private data . and remotely wipe the victim .’s data and backups .,. - (EL) - -________________________ -______________________ __________ __
13,2017-How Effective is Anti-Phishing Training for Children_.pdf,children at dutch primary schools received anti- phishing training . the training improved the children’s overall score by 14% . age had a positive effect on the score (i.e.older children scored higher than younger ones); but sex had no significant influence .,fraudsters use phishing to convince victims to give out per- sonal information . impersonated brands that are misused are predominately financial institutions and payment providers .,children need to understand digital risks to reduce the risk of victimization on the internet . majority of children are self-taught when it comes to the in- ternet . researchers had 237 children aged 8–13 take in a phishing recognition test .
14,2017-Mitigating Evasion Attacks to Deep Neural Networks via Region-based Classification.pdf,deep neural networks (dnns) have transformed several arti(cid:128)cial intelligence research areas . recent studies demonstrated that dns are vulnerable to adversarial manipu- lations at testing time . our region-based classi(cation) can signif- cantly mitigate evasion a (cid:138)acks .,deep neural networks (dnns) are unprecendentedly e(cid:130)ective at solving many challenging arti(cd:1 )1 .,. - (EL) - -________________________ -______________________ __________ __
15,2017-Orpheus- Enforcing Cyber-Physical Execution Semantics to Defend Against Data-Oriented Attacks.pdf,recent studies have revealed that control programs running on embedded devices suffer from both control-oriented attacks (e.g.code-injection or code-reuse attacks) and data-oriented . attacks . existing detection mechanisms are insufficient to detect runtime data oriented ex- ploits due to the lack of runtime execution semantics checking .,embedded control and monitoring systems are becoming widely used in a variety of cps and iot . permission to make digital or hard copies of all or part of this work is granted without fee . to copy otherwise or republish to post on servers or to redistribute to lists requires prior specific permission .,. - (EL) - -________________________ -______________________ __________ __
16,2017-POSTER- A PU Learning based System for Potential Malicious URL Detection.pdf,paper describes a pu learning based system for potential url attack detection . data obtained always contains only a handful of known attack urls . system can either be deployed as an assistance for existing system or be employed to help cyber-security engineers to effectively discover potential attack mode .,with the rapid development of internet more and more kinds of url attacks have arisen becoming a serious threat to cyber-security . traditional url attack detection systems are mainly constructed through the use of blacklists or rule lists . more severely these kinds of methods lack the ability of detecting potential attacks . machine learn- ing based approaches have been employed to provide better generalization performance .,in this work we develop a potential url attack detection system based on pu learning . our method only needs a handful of malicious urls along with the unlabeled url .
17,2017-PT-Rand- Practical Mitigation of Data-only Attacks against Page Tables.pdf,kernel exploits constitute a powerful attack class allowing attackers to gain full control over a system . many kernel hardening solutions have been proposed or deployed in practice to protect the kernel against code injection (e.g.dep) or code-reuse exploits .,attacks against kernels are gaining more and more prominence . first the kernel executes with high privileges often allowing the attacker to compromise the entire system . reproduction for commercial purposes is strictly prohibited without the prior written consent of the internet society .,. - (EL) - -________________________ -______________________ __________ __
18,2017-QUASAR- Quantitative Attack Space Analysis and Reasoning.pdf,quasar systematically analyzes attacks and defenses at the granularity of the capabilities necessary to mount the attacks . four of the top five hypothesized new attack strategies have been published in security venues over the past two years .,computer security has long been an arms race . defenders work diligently to propose and build new defenses . material is based on work supported by the department of defense .,a framework called quantitative attack space analysis and reasoning (quasar) is used to analyze attacks and de- fenses at a strategic level . it represents each attack class with a set of fundamental capabilities necessary for an attacker to suc- cessfully carry out that attack .
19,2017-Replication- Challenges in Using Data Logs to Validate Phishing Detection Ability Metrics.pdf,security behavior observatory (sbo) is a field- study of computer security habits . it provides a novel dataset for validating computer security metrics . this paper compares performance on a phishing signal detection task with data logs .,users are expected to keep their software up to date (both individual programs and their operating system) avoid suspicious links and attachments (i.e.phishing attacks) choose secure passwords and install security programs (e.g.anti-virus),study replicated even if the differences in effect sizes were trivial . high statistical power would lead to conclusions that the study did not replicate . one challenge in assessing whether a replication is successful is accounting for type ii error .
20,2017-Tracking Phishing Attacks Over Time.pdf,the so-called 'phishing' attacks are one of the important threats to individuals and corporations in today’s internet . in this paper we look at this problem from a new angle . we have monitored a total of 19 066 phishing attacks over a period of ten months .,"""phishing"" defined as ""a type of com- puter attack that communicates socially engineered mes- sages to humans via electronic communication channels in order to persuade them to perform certain actions for the attacker's benefit""",. - (EL) - -________________________ -______________________ __________ __
21,2018-A Measurement Study on Linux Container Security Attacks and Countermeasures.pdf,in this paper we collect an attack dataset including 223 exploits that are eective on the container platform . we evaluate the security of existing linux container mechanism using 88 typical exploits . 50 exploits can successfully launch attacks from inside the container with the default conguration .,container technology is increasingly adopted by the industrial community due to two major advantages . the container or- chestration tools such as docker and kubernetes [31] are among the most popular .,container does not provide much security enhancement for the programs inside it except the exploits aiming to achieve privilege escalation . second the cgroup mechanism is not eectively utilized by default in defending against the dos attacks . fourth each kernel security mechanism restricts kernel permissions from dierent angles in a fragmented way .improper conguration of these security mechanisms might lower their protective capability.
22,2018-Augmenting Telephone Spam Blacklists by Mining Large CDR Datasets.pdf,the us fed- eral trade commission’s national do not call registry’s number of cumulative complaints of spam/scam calls reached 30.9 million submissions in 2016 . however due to the extremely large volume of calls that transit across large carrier networks it is difficult to accurately detect and block spam phone calls . this is because cdrs only contain high-level metadata related to each phone call .,ftc national do not call registry’s number of cumulative complaints of spam/scam calls in the us reached 30.9 million in the last year .,the materials in this material are those of the authors . they do not necessarily reflect the views of the national science foundation . the materials are not necessarily the opinions of the nsf .
23,2018-Do Social Disorders Facilitate Social Engineering_ A Case Study of Autism and Phishing Attacks.pdf,social engineering is well-known and well-studied threat especially against healthy computer users.little studied however is the level of vulnerability to social engineering attacks against people with medical conditions . in this paper we launch a study of phishing a prominent social engineering attack against people suffering from autism spectrum disorder .,phishing is a type of social engineering attack where the attacker directs users to fake websites having the look and feel similar to that of a real website . the attackers then exploit the information gathered from such an attack to misuse the victim’s account . social engineering attacks are a well-established and well-studied threat in the literature especially against normal computer users .,. - (EL) - -________________________ -______________________ __________ __
24,2018-End-to-End Measurements of Email Spoofing Attacks  .pdf,spear phishing has been a persistent threat to users and organizations . yet email providers still face key chal- lges to authenticate incoming emails . spoofing techniques can apply to impersonate a trusted entity .,attackers increasingly rely on phishing tactic- tics to breach various target networks . human factors still remain a weak link despite recent development of the system and net- work security .,phishing activity trends 2015.ters apwg trends report q1-q3 2015.pdf . email statistics report.the radicati group 2017.http://www.radicati.com/wp-content/uploads/2017/01/email-statistics-report-2017-2021-executive-summary.pdf.
25,2018-Lemna- Explaining deep learning based security applications.pdf,the paper proposes lemna a high-fidelity explanation method dedicated for security applications . given an input data sample lemna generates a small set of interpretable features to ex- plain how the input sample is classified .,deep neural networks have shown a great potential to build security applications . researchers have successfully applied them to train classifiers for malware classification .,the opinions expressed in this material are those of the authors . they do not necessarily reflect the views of any funding agencies . the authors are not responsible for the content of this material .
26,2019-A Decade of Mal-Activity Reporting- A Retrospective Analysis of Internet Malicious Activity Blacklists.pdf,this paper focuses on reporting of internet mal-activity by public blacklists with the objective of pro-viding a systematic characterization of what has been reported over the years . leveraging the wayback machine antivirus (av) tool reports and several additional public datasets (e.g.bgp route views and inter- net registries) we enrich the data with historical meta-information including geo-locations (countries) autonomous system (as) num- bers and types of mal-activities,public reports of malicious online activity are commonly used in the form of blacklists by intrusion detection systems spam filters . very little is known about the dynamics of the reporting of malicious activities .,starting from around 2016-2017 phishing is emerging as one of the major classes of mal-activities consisting of half the volume of malware . a low average deathtime indicates resiliency of the reported host .
27,2019-Detecting and Characterizing Lateral Phishing at Scale.pdf,113 million employee- sent emails from 92 enterprise organizations . classifier that finds hun- dreds of real-world lateral phishing emails while generating under four false positives per every one-million employee sent emails .,phishing attacks have risen to the level of government attention . the fbi estimates that $1 billion is spent annually on attacks . phish attacks have been used to compromise government systems and companies .,. - (EL) - -________________________ -______________________ __________ __
28,2019-Detecting Violations of Differential Privacy.pdf,the widespread acceptance of differential privacy has led to the publication of many sophisticated algorithms for protecting privacy . however due to the subtle nature of this privacy definition many such algorithms have bugs that make them violate their claimed privacy. our approach is statistical in nature . it correctly rejects incorrect algorithms and provides counterexamples for them within a few seconds.,permission to make digital or hard copies of all or part of this work is granted without fee provided that copies are not made or distributed for profit or commercial advantage . to copy otherwise or republish to post on servers or to redistribute to lists requires prior specific permission and/or a fee .,in this paper we focus on algorithms for which there is a public record of an error . we believe our tool fills in the currently missing piece in the development of differentially private algorithms .
29,2019-Doppelgangers on the Dark Web- A Large-scale Assessment on Phishing Hidden Web Services.pdf,anonymous network services on the world wide web have emerged as a new web architecture called the dark web . dark web has been notorious for harboring cybercriminals abusing anonymity . this anonymous nature allows website operators to conceal their iden- tity and leads users to have difficulties in determining the authenticity of websites .,author this paper is published under the creative commons attribution 4.0 international (cc-by 4.0) license .authors reserve their rights to disseminate the work on their personal and corporate web sites with the appropriate attribution.,. - (EL) - -________________________ -______________________ __________ __
30,2019-ML-Leaks- Model and Data Independent Membership Inference Attacks and Defenses on Machine Learning Models.pdf,machine learning (ml) has become a core com- ponent of many real-world applications . this huge success has led internet companies to deploy machine learning as a service (mlaas),machine learning (ml) has become a core component of many real-world applications ranging from image classifica- tion to speech recognition . the success of ml has recently driven leading internet companies such as google and amazon to deploy machine learning as a service (mlaas),. - (EL) - -________________________ -______________________ __________ __
31,2019-Model Inversion Attacks Against Collaborative Inference.pdf,in this paper we devise a new set of attacks to compro- mise the inference data privacy in collaborative deep learning systems . when a deep neural network and the corresponding inference task are split and distributed to dif- ferent participants one malicious participant can accurately recover an arbitrary input fed into this system even if he has no access to other participants’ data .,deep learning models out- perform traditional machine learning approaches on various artificial intelligence tasks e.g.image recognition [19] natu- ral language processing [31] speech recognition [16] anom- aly detection [17],model inversion attacks under the black-box setting are more challenging because without the knowledge of model parameters the adversary cannot directly perform a gradient descent operation on f1 . our solution is easier to implement and can recover inputs with higher fidelity .
32,2019-Opening the Blackbox of VirusTotal- Analyzing Online Phishing Scan Engines.pdf,online scan engines such as virustotal are heavily used by re- searchers to label malicious urls and files . but it is not well understood how the labels are generated and how reliable the scanning results are . this paper examines the labeling process of 68 third-party vendors . it shows that vendors have trouble flagging all phish- ing sites .,antivirustotal provides both file scan (for malware analysis) and url scan services (for detecting phishing and malware hosts) it works with more than 60 security vendors to aggregate their scanning results .permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage .,. - (EL) - -________________________ -______________________ __________ __
33,2019-Phishfarm.pdf,phishfarm: a scalable framework for methodically testing the resilience of anti-phishing entities and browser blacklists to attackers’ evasion efforts.,phishing has maintained record-shattering levels of volume in recent years . it continues to be a major threat to today’s internet users .,the mobile-only filter b showed 100% effectiveness against blacklisting across all entities . the javascript-based filter f was 100% effective for some entities delayed cloaking for others but was in fact more likely to be blacklisted than filter a .
34,"2019-Poster- Data Quality for Security Challenges- Case Studies of Phishing, Malware and Intrusion Detection Datasets.pdf",acm sigsac conference on computer and commu- nications security (ccs ’19) november 11–15 2019 london united kingdom . houtan faridi and rakesh m.verma victor zeng present case studies of phishing malware and intrusion detection datasets .,researchers have been applying data mining and machine learning techniques to security challenges for the past few years . they have been using these techniques to solve security challenges since the early 1990s .,three case studies illustrate the issues with datasets for security challenges . we define dataset difficulty as a measure of dataset quality . much remains to be done for example when to stop cleaning .
35,2019-Poster- Understanding User_s Decision to Interact with Potential Phishing Posts on Facebook using a Vignette Study.pdf,facebook is the largest social networking site (sns) with over one billion active monthly users . this platform has drastically improved how we interact with one another . it has also opened up a multitude of security and privacy issues .,phishing is a digital security attack that exploits human errors in online navigation . report from anti-phishing working group [1],. - (EL) - -________________________ -______________________ __________ __
36,2019-Where does it go_ refining indirect-call targets with multi-layer type analysis.pdf,kangjie lu and hong hu propose a new approach to refine indirect-call targets . multi-layer type analysis (mlta) can elimi- nate 86% to 98% more indirect calls . typedive has found 35 new deep semantic bugs in the linux kernel .,function pointers are commonly used in c/c++ programs to sup- port dynamic program behaviors . gcc and llvm do not recognize icall targets by default .,recommendations expressed in this material are those of the authors . they do not necessarily reflect the views of nsf or onr .
37,2020-An Analysis of Phishing Blacklists Google Safe Browsing OpenPhish and PhishTank.pdf,gsb contains on average 1.6 million urls compared to 12 433 in pt and 3 861 in phishtank . none of the 3 blacklists enforce a one-time-only url policy - thus protecting users against re-emerging threats .,over 180 000 unique phishing websites were detected by the anti-phishing working group (apwg) in q1 .,. - (EL) - -________________________ -______________________ __________ __
38,2020-An investigation of phishing awareness and education over time- When and how to best remind users.pdf,security awareness and education programmes are rolled out in more and more organisations . however their effectiveness over time and correspondingly appropriate intervals to remind users’ awareness and knowledge are an open ques- tion . with overall 409 employees we eval- uated the effectiveness of their newly deployed security awareness programme in the phishing context over time .,the german national it planning council requires german organisations in the public administration sector to implement information security man- agement systems (isms) copyright is held by the author/owner.,. - (EL) - -________________________ -______________________ __________ __
39,2020-Demo- PhishBench 2.0- A Versatile and Extendable Benchmarking Framework for Phishing.pdf,"phishbench 2.0 allows researchers to rapidly evaluate new features and methods for machine-learning based phishing detection . with the addition of the ability to dynamically load fea- tures metrics and classifiers, researchers can compare their contributions with numerous built-in features ranking methods .",phishing is a serious and challenging problem with a large amount of research . researchers usually test their proposed methods against limited baselines and with few metrics when presenting new fea- tures or approach(es) phishbench 1.0 [5 14] supports both email and url datasets .,. - (EL) - -________________________ -______________________ __________ __
40,2020-Dns cache poisoning attack reloaded- Revolutions with side channels.pdf,in this paper we report a series of flaws in the software stack that leads to a strong revival of dns cache poisoning . to successfully poison a cache on a typical server an off-path adversary would need to send an impractical number of 232 spoofed responses simultaneously guessing the correct source port and transaction id .,domain name system (dns) is an essential part of the internet orig- nally designed to translate human-readable names to ip addresses . also plays a crucial role in bootstrapping trust for tls .,. - (EL) - -________________________ -______________________ __________ __
41,2020-PhishTime- Continuous Longitudinal Measurement of the Effectiveness of Anti-phishing Blacklists.pdf,"anti-phishing blacklists are a key defense against large-scale phishing attacks . however, the sophistication in these evasive websites continues to grow . there have been no methodical e(cid:29)orts to make and track such measurements at the ecosystem level over time .",phishing attacks represent a signi(cid: : ) of aphishing attack . phish attacks are a common occurrence in the u.s.,. - (EL) - -________________________ -______________________ __________ __
42,2021-Assessing Browser-level Defense against IDN-based Phishing.pdf,internationalized domain names (idn) allow people around the world to use their native languages for domain names . to mitigate this risk browsers have recently introduced defense policies . however it is not yet well understood regarding how these policies are constructed and how effective they are .,the internet is progressively globalizing . for a long time most internet domain names were restricted to english characters . to allow people around the world to use their native languages for domain names internationalized domain names (idn),. - (EL) - -________________________ -______________________ __________ __
43,2021-Catching Phishers By Their Bait- Investigating the Dutch Phishing Landscape through Phishing Kit Detection.pdf,phishing is the practice of tricking victims into disclosing their credentials on fraudulent websites . the practice is believed to lower the threshold for criminal entrepreneurs being phished . but how often are these kits used? .,phishing is a pervasive type of social engineering that harvests user credentials by tricking targets into disclosing personal or financial information – e.g.credit card details – on a fraudu- lent website . dark net markets and secure messaging services like telegram can be bought leased or even downloaded for free in the underground economy .,han et al.[17] observed 49 different phishing domains doing this before their kit was fully deployed and operational . 460 fqdns in our dataset lack whois information due to inconsistent information formatting or server errors . only 114 of the 818 domains (14%) were registered more than 24 hours before coming online .
44,2021-Catching Transparent Phish- Analyzing and Detecting MITM Phishing Toolkits.pdf,man-in-the- middle (mitm) phishing toolkits are the latest evolution in this space . they act as malicious reverse proxy servers of online services mirroring live content to users while extracting cre- dentials and session cookies in transit . these tools further reduce the work required by attackers automate the harvesting of 2fa- authenticated sessions .,the combination of a username and password is the default gate- keeper to nearly all online services that users interact with on daily basis . phishers impersonate trustworthy entities in an attempt to lure victims into disclosing private information such as account credentials and banking information . traditional phishing websites were hosted entirely on attacker- owned and compromised web servers .,. - (EL) - -________________________ -______________________ __________ __
45,2021-Compromised or Attacker-Owned- A Large Scale Classification and Study of Hosting Domains of Malicious URLs.pdf,1 p.m. et de l'ordre du jour provisoire . . 1 a. d.,the mitigation action against a malicious website may differ greatly depending on how that site is hosted . if it is hosted under a private apex domain where all its subdomains and pages are under the owner’s direct control we could block at the ado- main level . for the latter case the private do- main may be legitimate but compromised or may be attacker- generated .,private apexes can be blocked with 97.2% accuracy and 95.6% recall . public malicious websites exhibit the opposite trend where most (79.5%) are attacker owned .
46,2021-Data Poisoning Attacks to Deep Learning Based Recommender Systems.pdf,researchers conduct the first systematic study on data poisoning attacks to deep learning based recommender systems . their experimental results on three real- world datasets show that our attack is effective and outperforms existing attacks .,recom- mender systems help people find their interested items easily by mining historical user-item interaction data . unlike the non-personalized recommender system that rec- ommends the same items to all users personalized recommender systems bring huge economic benefits .,. - (EL) - -________________________ -______________________ __________ __
47,2021-Discovering and Measuring Malicious URL Redirection Campaigns from Fake News Domains.pdf,malicious urls are used to distribute malware and launch social engineering attacks . they often hide behind redirection networks to evade detection . we propose a proactive algorithm to uncover redirec- tion networks in real-time .,malicious urls are evasive short-lived and usually hide behind redirection networks . they are usually hidden behind redirections networks [1] .,. - (EL) - -________________________ -______________________ __________ __
48,2021-FARE- Enabling Fine-grained Attack Categorization under Low-quality Labeled Data.pdf,supervised machine learning classifiers have been widely used for attack detection . but their training requires abun- dant high-quality labels . without such labels it is difficult to train and deploy targeted countermeasures .,machine learning is widely used to build security appli- cations . many security tasks such as malware detection and abuse/fraud identification can be formulated as a supervised classification problem . defenders can train supervised classifiers to distinguish attacks from benign data .,. - (EL) - -________________________ -______________________ __________ __
49,"2021-Interactions with Potential Mis_Disinformation URLs Among US Users on Facebook, 2017-2019.pdf",re- cently facebook and social science one released a large unique privacy-preserving dataset to researchers . it contains data on urls shared on facebook in 2017-2019 including how users in- teracted with posts . older and more politically conservative u.s.users were more likely to be exposed .,"the last several years have brought significant concerns about the spread and influence of (unintentionally false) misinformation online . john sutter: ""it's a good thing that people are aware of the dangers of misinformation and disinformation online.""",u.s. users who are older and politically right-leaning were more likely to see misinformation urls in their feeds . top baseline heatmap shows larger percentage of views from younger users . tpfc false url views for the domains in table 3 were substantial .
50,2021-Knowledge and Capabilities that Non-Expert Users Bring to Phishing Detection.pdf,phishing emails are scam communications that pretend to be something they are not in order to get people to take actions they otherwise would not . we surveyed a demographically matched sample of 297 people from across the united states and asked them to share their descriptions of a specific expe- rience . email users bring unique knowledge to this identifi- cation process that neither technical controls nor it experts have .,over 3.9 billion people have email accounts and collectively they send and receive over a billion emails a day . e-mail is one of the most commonly used methods of commu- nication especially in large organizations .,. - (EL) - -________________________ -______________________ __________ __
51,2021-Manipulating the Byzantine- Optimizing Model Poisoning Attacks and Defenses for Federated Learning.pdf,federated learning (fl) enables many data owners to train a joint ml model . but fl is known to be susceptible to poisoning attacks by malicious participants . attacks result in 1.5 to 60 higher reductions in the accuracy of models .,federated learning (fl) is an emerging learning paradigm in which many data owners (called clients) collaborate in training a common machine learning model without sharing their private training data . malicious clients can attempt to degrade the utility (e.g.model accuracy) of the resulting global model by contributing malicious model updates .,we present a general framework to mount systematic model poisoning attacks on fl . we demonstrated that our framework results in attacks that outperform state-of-the-art poisoning attack against all byzantine-robust algorithms by large margins. we also presented a robust aggrega- tion algorithm called divide-and-conquer .
52,2021-Phishpedia- A Hybrid Deep Learning Based Approach to Visually Identify Phishing Webpages.pdf,recent years have seen the development of phishing detec- tion and identification approaches . phishpedia is a hybrid deep learning system designed to address two prominent technical challenges . accurate recognition of identity logos on webpage screenshots and matching logo variants of the same brand .,phishing an important step in an attack chain has evolved over the past years . it is now available and delivered as a service [19 49 71].,. - (EL) - -________________________ -______________________ __________ __
53,2021-PhishPrint- Evading Phishing Detection Crawlers by Prior Profiling.pdf,security companies often use web crawlers to detect phishing and other social engineering attack websites . we built a scalable low-cost framework called phishprint to enable the evaluation of such web security crawlers against multiple cloaking attacks .,web-based social engineering attacks such as phishing and malvertisements have been on the rise .url blocklisting services such as google’s safe browsing (gsb) and microsoft’s smartscreen have been working as front-line defenses in protecting the users against these kinds of attacks .,. - (EL) - -________________________ -______________________ __________ __
54,2021-Practical Blind Membership Inference Attack via Differential Comparisons.pdf,membership inference (mi) attacks affect user privacy by inferring whether given data samples have been used to train a target learning model e.g. a deep neural network . the success of the former heavily depends on the quality of the shadow model .,machine learning (ml) especially deep learning (dl) has achieved or even surpassed human-level performance on many critical areas such as medical diagnosis . [5] [6] image and speech recognition [17] [18],nsf is not responsible for the official policies or endorsements expressed or implied . the statements contained herein are those of the authors and should not be interpreted as representing official policies .
55,2021-SoK- Still Plenty of Phish in the Sea - A Taxonomy of User-Oriented Phishing Interventions and Avenues for Future Research.pdf,"phishing is a prevalent cyber threat targeting individuals and organizations alike . previous approaches on anti-phishing measures have started to recognize the role of the user who at the center of the target builds the last line of defense . however, user-oriented interventions are fragmented across a diverse research landscape which has not been systematized to date .",phishing is a frequently employed cyber attack to get hold of users’ sensitive information such as login details or bank- ing account numbers . furthermore criminals increasingly use cyber attacks to distribute malware . the consequences of a successful attack can reach from individual per- sonal losses or compromised accounts to complete organiza- tions or networks being infected .,. - (EL) - -________________________ -______________________ __________ __
